"System Time Index";"BVP Data"
"1530209349133";"0.0"
"1530209349154";"-1.0"
"1530209349154";"-2.0"
"1530209349154";"-3.0"
"1530209349175";"-4.0"
"1530209349176";"-5.0"
"1530209349197";"-6.0"
"1530209349218";"-7.0"
"1530209349239";"-8.0"
"1530209349260";"-9.0"
"1530209349260";"-10.0"
"1530209349281";"-11.0"
"1530209349303";"-12.0"
"1530209349326";"-13.0"
"1530209349348";"-14.0"
"1530209349371";"-15.0"
"1530209349435";"-16.0"
"1530209349477";"-15.0"
"1530209349561";"-14.0"
"1530209349582";"-13.0"
"1530209349582";"-12.0"
"1530209349602";"-11.0"
"1530209349603";"-10.0"
"1530209349603";"-9.0"
"1530209349623";"-8.0"
"1530209349623";"-7.0"
"1530209349623";"-6.0"
"1530209349624";"-5.0"
"1530209349624";"-4.0"
"1530209349644";"-3.0"
"1530209349645";"-2.0"
"1530209349645";"0.0"
"1530209349645";"1.0"
"1530209349645";"2.0"
"1530209349645";"4.0"
"1530209349666";"5.0"
"1530209349666";"6.0"
"1530209349666";"7.0"
"1530209349667";"9.0"
"1530209349667";"10.0"
"1530209349668";"11.0"
"1530209349689";"12.0"
"1530209349689";"13.0"
"1530209349690";"14.0"
"1530209349693";"15.0"
"1530209349693";"16.0"
"1530209349693";"17.0"
"1530209349694";"18.0"
"1530209349714";"19.0"
"1530209349715";"20.0"
"1530209349715";"21.0"
"1530209349715";"22.0"
"1530209349715";"23.0"
"1530209349736";"24.0"
"1530209349736";"25.0"
"1530209349758";"24.0"
"1530209349779";"23.0"
"1530209349800";"22.0"
"1530209349800";"21.0"
"1530209349800";"20.0"
"1530209349821";"19.0"
"1530209349822";"18.0"
"1530209349822";"17.0"
"1530209349822";"16.0"
"1530209349843";"15.0"
"1530209349843";"14.0"
"1530209349843";"13.0"
"1530209349843";"12.0"
"1530209349864";"11.0"
"1530209349864";"10.0"
"1530209349864";"9.0"
"1530209349885";"8.0"
"1530209349885";"7.0"
"1530209349886";"6.0"
"1530209349907";"5.0"
"1530209349907";"4.0"
"1530209349907";"3.0"
"1530209349928";"2.0"
"1530209349929";"1.0"
"1530209349950";"0.0"
"1530209349971";"-1.0"
"1530209349992";"-2.0"
"1530209350012";"-3.0"
"1530209350035";"-4.0"
"1530209350056";"-5.0"
"1530209350077";"-6.0"
"1530209350099";"-7.0"
"1530209350100";"-8.0"
"1530209350121";"-9.0"
"1530209350142";"-10.0"
"1530209350142";"-11.0"
"1530209350143";"-12.0"
"1530209350210";"-13.0"
"1530209350231";"-14.0"
"1530209350276";"-13.0"
"1530209350361";"-12.0"
"1530209350382";"-13.0"
"1530209350467";"-12.0"
"1530209350468";"-11.0"
"1530209350488";"-10.0"
"1530209350489";"-9.0"
"1530209350489";"-8.0"
"1530209350489";"-7.0"
"1530209350489";"-6.0"
"1530209350510";"-5.0"
"1530209350510";"-4.0"
"1530209350510";"-3.0"
"1530209350511";"-2.0"
"1530209350511";"-1.0"
"1530209350511";"0.0"
"1530209350532";"1.0"
"1530209350532";"2.0"
"1530209350532";"3.0"
"1530209350532";"4.0"
"1530209350532";"6.0"
"1530209350532";"7.0"
"1530209350532";"8.0"
"1530209350532";"9.0"
"1530209350553";"11.0"
"1530209350553";"12.0"
"1530209350554";"13.0"
"1530209350554";"15.0"
"1530209350554";"16.0"
"1530209350554";"17.0"
"1530209350554";"18.0"
"1530209350575";"19.0"
"1530209350576";"20.0"
"1530209350576";"21.0"
"1530209350596";"22.0"
"1530209350597";"23.0"
"1530209350597";"24.0"
"1530209350597";"25.0"
"1530209350618";"26.0"
"1530209350701";"27.0"
"1530209350742";"26.0"
"1530209350742";"25.0"
"1530209350743";"24.0"
"1530209350764";"23.0"
"1530209350785";"22.0"
"1530209350786";"21.0"
"1530209350786";"20.0"
"1530209350786";"19.0"
"1530209350807";"18.0"
"1530209350807";"17.0"
"1530209350807";"16.0"
"1530209350828";"15.0"
"1530209350828";"14.0"
"1530209350828";"13.0"
"1530209350829";"12.0"
"1530209350849";"11.0"
"1530209350849";"10.0"
"1530209350849";"9.0"
"1530209350870";"8.0"
"1530209350870";"7.0"
"1530209350891";"6.0"
"1530209350912";"5.0"
"1530209350932";"4.0"
"1530209350953";"3.0"
"1530209350954";"2.0"
"1530209350975";"1.0"
"1530209350996";"0.0"
"1530209351017";"-1.0"
"1530209351018";"-2.0"
"1530209351039";"-3.0"
"1530209351039";"-4.0"
"1530209351060";"-5.0"
"1530209351060";"-6.0"
"1530209351061";"-7.0"
"1530209351061";"-8.0"
"1530209351061";"-9.0"
"1530209351061";"-10.0"
"1530209351061";"-11.0"
"1530209351082";"-12.0"
"1530209351083";"-13.0"
"1530209351104";"-14.0"
"1530209351104";"-15.0"
"1530209351125";"-16.0"
"1530209351168";"-17.0"
"1530209351169";"-18.0"
"1530209351170";"-19.0"
"1530209351211";"-20.0"
"1530209351212";"-21.0"
"1530209351234";"-22.0"
"1530209351234";"-23.0"
"1530209351276";"-24.0"
"1530209351362";"-25.0"
"1530209351383";"-26.0"
"1530209351383";"-25.0"
"1530209351424";"-24.0"
"1530209351425";"-23.0"
"1530209351426";"-22.0"
"1530209351426";"-21.0"
"1530209351426";"-20.0"
"1530209351426";"-19.0"
"1530209351426";"-18.0"
"1530209351426";"-17.0"
"1530209351447";"-16.0"
"1530209351447";"-15.0"
"1530209351447";"-13.0"
"1530209351447";"-12.0"
"1530209351448";"-11.0"
"1530209351448";"-9.0"
"1530209351470";"-8.0"
"1530209351470";"-6.0"
"1530209351470";"-5.0"
"1530209351470";"-3.0"
"1530209351491";"-2.0"
"1530209351491";"0.0"
"1530209351493";"1.0"
"1530209351493";"3.0"
"1530209351493";"4.0"
"1530209351493";"6.0"
"1530209351493";"7.0"
"1530209351513";"9.0"
"1530209351514";"10.0"
"1530209351514";"11.0"
"1530209351514";"12.0"
"1530209351514";"13.0"
"1530209351514";"15.0"
"1530209351535";"16.0"
"1530209351535";"17.0"
"1530209351535";"18.0"
"1530209351535";"19.0"
"1530209351556";"20.0"
"1530209351556";"21.0"
"1530209351557";"22.0"
"1530209351577";"23.0"
"1530209351577";"22.0"
"1530209351598";"21.0"
"1530209351621";"20.0"
"1530209351641";"19.0"
"1530209351642";"18.0"
"1530209351662";"17.0"
"1530209351663";"16.0"
"1530209351663";"15.0"
"1530209351663";"14.0"
"1530209351683";"13.0"
"1530209351684";"12.0"
"1530209351684";"11.0"
"1530209351685";"10.0"
"1530209351685";"9.0"
"1530209351686";"8.0"
"1530209351706";"7.0"
"1530209351707";"6.0"
"1530209351707";"5.0"
"1530209351727";"4.0"
"1530209351728";"3.0"
"1530209351749";"2.0"
"1530209351771";"3.0"
"1530209351771";"4.0"
"1530209351816";"5.0"
"1530209351817";"4.0"
"1530209351838";"3.0"
"1530209351859";"2.0"
"1530209351859";"1.0"
"1530209351880";"0.0"
"1530209351880";"-1.0"
"1530209351881";"-2.0"
"1530209351902";"-3.0"
"1530209351902";"-4.0"
"1530209351902";"-5.0"
"1530209351902";"-6.0"
"1530209351902";"-7.0"
"1530209351902";"-8.0"
"1530209351902";"-9.0"
"1530209351923";"-10.0"
"1530209351924";"-11.0"
"1530209351924";"-12.0"
"1530209351944";"-13.0"
"1530209351945";"-14.0"
"1530209351945";"-15.0"
"1530209351945";"-16.0"
"1530209351945";"-17.0"
"1530209351946";"-18.0"
"1530209351946";"-19.0"
"1530209351967";"-20.0"
"1530209351967";"-21.0"
"1530209351967";"-22.0"
"1530209351988";"-23.0"
"1530209351989";"-24.0"
"1530209352030";"-23.0"
"1530209352031";"-22.0"
"1530209352051";"-21.0"
"1530209352077";"-20.0"
"1530209352078";"-19.0"
"1530209352098";"-18.0"
"1530209352098";"-17.0"
"1530209352099";"-16.0"
"1530209352099";"-15.0"
"1530209352099";"-14.0"
"1530209352100";"-13.0"
"1530209352121";"-12.0"
"1530209352121";"-11.0"
"1530209352121";"-10.0"
"1530209352122";"-9.0"
"1530209352122";"-8.0"
"1530209352154";"-7.0"
"1530209352175";"-6.0"
"1530209352175";"-5.0"
"1530209352177";"-4.0"
"1530209352178";"-3.0"
"1530209352221";"-2.0"
"1530209352222";"-1.0"
"1530209352243";"0.0"
"1530209352285";"-1.0"
"1530209352286";"-2.0"
"1530209352308";"-3.0"
"1530209352308";"-4.0"
"1530209352309";"-5.0"
"1530209352330";"-6.0"
"1530209352330";"-7.0"
"1530209352330";"-8.0"
"1530209352331";"-9.0"
"1530209352352";"-10.0"
"1530209352352";"-11.0"
"1530209352353";"-12.0"
"1530209352395";"-11.0"
"1530209352395";"-10.0"
"1530209352395";"-9.0"
"1530209352395";"-8.0"
"1530209352395";"-7.0"
"1530209352416";"-6.0"
"1530209352416";"-5.0"
"1530209352416";"-4.0"
"1530209352417";"-3.0"
"1530209352417";"-2.0"
"1530209352417";"-1.0"
"1530209352438";"0.0"
"1530209352438";"1.0"
"1530209352438";"2.0"
"1530209352438";"3.0"
"1530209352459";"4.0"
"1530209352460";"5.0"
"1530209352460";"6.0"
"1530209352481";"7.0"
"1530209352482";"8.0"
"1530209352482";"9.0"
"1530209352482";"10.0"
"1530209352485";"11.0"
"1530209352485";"12.0"
"1530209352506";"13.0"
"1530209352506";"14.0"
"1530209352527";"15.0"
"1530209352548";"14.0"
"1530209352571";"13.0"
"1530209352571";"12.0"
